,0,1
ClC(Cl)Cl,-3.1032392035750043,-2.0776193401022676
ClCCCl,-3.4917007200533283,-2.1413124661044587
ClCCl,-5.019543701114108,-2.000711119360418
CCC(C)(O)C,-0.9911793465642665,-0.2028609518149421
CC1=CC=CC=C1,1.0083849592861758,7.020400281183377
CC1=CC(C)=CC(C)=C1,4.024414742825306,9.045046964354299
FC(F)(F)C1=CC=CC=C1,4.836658072806144,2.8437441692135943
FC1=C(F)C(F)=C(F)C(F)=C1F,6.521148084019106,0.9873488891661927
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16.714965609415504,-7.697056952104726
C[N+]([O-])=O,-5.771402689220461,-3.3419051495418937
[H]O[H],-9.904350349187906,-2.120214672162292
C1CCOC1,-2.552088266162996,0.6686025287106627
O1CCOCC1,-2.27206719247416,-0.9834621814371313
