Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
133,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,51.00320725,-17.63621337,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,13
134,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,51.00320725,-17.63621337,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,20
135,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,51.00320725,-17.63621337,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,18
136,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C[N+]([O-])=O,-12.06951212,-2.874625605,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,24
137,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C[N+]([O-])=O,-12.06951212,-2.874625605,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,20
138,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C[N+]([O-])=O,-12.06951212,-2.874625605,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,17
139,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,[H]O[H],-25.91933045,-16.39307679,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,nil
140,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,[H]O[H],-25.91933045,-16.39307679,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,nil
141,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,[H]O[H],-25.91933045,-16.39307679,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,nil
145,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C1CCOC1,-6.41532407,5.041541244,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,nil
146,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C1CCOC1,-6.41532407,5.041541244,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,nil
147,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,C1CCOC1,-6.41532407,5.041541244,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,nil
148,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,O1CCOCC1,-2.968421618,4.203654937,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,2,nil
149,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,O1CCOCC1,-2.968421618,4.203654937,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,4,nil
150,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,O1CCOCC1,-2.968421618,4.203654937,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,10,8,nil
151,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,0.5,2,nil
152,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,0.5,4,3
153,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,0.5,8,3
154,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,0.5,24,11
155,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,1,2,5
156,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,1,4,10
157,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,1,8,16
158,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,1,24,23
159,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,2,2,25
160,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,2,4,27
161,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,2,8,29
162,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,2,24,22
163,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,25,2,27
164,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,25,4,26
165,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,25,24,24
166,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,50,2,5
167,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,50,4,5
168,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,50,8,4
169,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,50,24,6
170,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,110,2,nil
171,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,110,4,nil
172,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,110,8,3
173,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,21,,110,24,nil
174,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,10,,10,2,32
175,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,10,,10,4,32
176,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,10,,10,8,35
177,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,10,,10,24,31
178,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,50,,10,0.5,32
179,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,50,,10,1,33
180,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,50,,10,2,30
181,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,50,,10,4,34
182,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,,50,,10,8,31
