Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Ratio (cosolvent : solvent),Additives,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
31,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,21,120,10,2,30
32,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,21,120,10,4,27
33,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,21,120,10,8,28
34,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,21,120,10,2,28
35,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,21,120,10,4,25
36,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,21,120,10,8,23
37,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,2,40
38,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,4,41
39,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,none,21,nil,10,8,37
43,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,0.5,[H]O[H],21,100,10,2,38
