Catalyst dim1,Catalyst dim2,Solvent dim1,Solvent dim2,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hours,yield
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,2,53
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,4,54
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.15813217,15.32600645,21,10,8,49
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,2,50
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,4,54
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-11.06135627,15.48388445,21,10,8,49
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,2,30
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,4,27
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,35.68073466,5.57456039,21,10,8,28
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,2,28
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,4,25
1.08309219,0.60956586,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,15.82593181,-7.955631793,21,10,8,23
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,40
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,41
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,37
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,2,38
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,4,38
-0.54430298,0.74262953,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,-13.91750442,-7.753291406,21,10,8,37
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,2,27
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,4,25
13.13535637,-5.07989834,-11.14697706,-9.27334807,14.36486742,-1.75190403,0.5,0,0,21,10,8,22
