Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,additive loading mol%,cat. loading mol%,time in min,yield
47,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,4,25
48,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,-13.91750442,-7.753291406,21,nil,10,8,22
49,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,10,10,2,25
50,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,10,10,4,24
51,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 0.1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,10,10,8,23
52,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,100,10,2,28
53,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,100,10,4,24
54,CC1(C)[C@]2([H])CC[C@@]1(CS(O)(=O)=O)C(C2)=O + 1 eq.H2O,13.17525075,-5.848473261,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,[H]O[H],0,0,21,100,10,8,23
55,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],38.6158785,5.609527124,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,2,5
56,O=S(C1=CC=CC=C1C2=CN=NC(C3=NC=C(C4=CC=CC=C4S(=O)([O-])=O)C=C3)=N2)([O-])=O.[Na+].[Na+],38.6158785,5.609527124,ClC(Cl)Cl,,,FC(F)(F)C(O)C(F)(F)F,,,0.5,none,0,0,21,nil,10,4,traces
