Entry,Catalyst,Catalyst dim1,Catalyst dim2,Solvent,Solvent dim1,Solvent dim2,Cosolvent,Cosolvent dim1,Cosolvent dim2,Ratio (cosolvent : solvent),Additives,additive dim1,additive dim2,temp in degree celsius,cat. loading mol%,time in hrs,yield%
28,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Na+].[Al+3],-11.06135627,15.48388445,21,10,2,50
29,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Na+].[Al+3],-11.06135627,15.48388445,21,10,4,54
30,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Na+].[Al+3],-11.06135627,15.48388445,21,10,8,49
31,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,35.68073466,5.57456039,21,10,2,30
32,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,35.68073466,5.57456039,21,10,4,27
33,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,O=C1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC(C)=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,35.68073466,5.57456039,21,10,8,28
34,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,15.82593181,-7.955631793,21,10,2,28
35,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,15.82593181,-7.955631793,21,10,4,25
36,CC1=CC=C(S(O)(=O)=O)C=C1,1.186137917,0.634095202,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,CC(C1=CC(C)=CC(C(C)(C)C)=C1O)(C)C,15.82593181,-7.955631793,21,10,8,23
37,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,2,40
38,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,4,41
39,O=S(C1=CC=CC=C1)(O)=O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,none,0,0,21,10,8,37
40,O=S(C1=CC=CC=C1)(O)=O + 0.1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,2,38
41,O=S(C1=CC=CC=C1)(O)=O + 0.1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,4,41
42,O=S(C1=CC=CC=C1)(O)=O + 0.1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,8,37
43,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,2,38
44,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,4,38
45,O=S(C1=CC=CC=C1)(O)=O + 1 eq.H2O,-0.437576237,0.804065416,ClC(Cl)Cl,-11.21819749,-9.225527544,FC(F)(F)C(O)C(F)(F)F,14.36486742,-1.75190403,0.5,[H]O[H],-13.91750442,-7.753291406,21,10,8,37
