,B1,B5,bond_length,L
0,1.946666759736487,3.408584649738178,1.7716645699161002,4.544475086435181
1,1.7,4.477900342254218,1.7813761385611406,4.938000030412892
2,1.7,3.3982249068394688,1.767229773187686,4.554769168563379
3,2.0014224743963043,4.523515299702519,1.52444117581296,5.802199362143482
4,1.7,3.256281075606573,1.4998141298927679,6.888629451102608
5,2.100459309101743,4.4487358266182335,1.5000792435878179,6.8883917335969755
6,2.2024978326255846,6.052981464764784,1.362890989651777,6.235736383686924
7,1.700443768725818,3.8339944410298665,1.3399811708815166,7.329410639058038
8,2.32512859478294,4.555562875719891,1.3557447843915904,9.661209339870886
9,1.620192285297029,2.621665871784296,1.4874241551336325,3.9693782677935174
10,1.1,2.04030703333855,0.9689998461310508,2.4689998461310507
11,1.8713511872393136,3.7630935434009234,1.5071889370171876,4.274862922563575
12,1.7,4.50087876866282,1.4352277256202237,4.606861014863723
